id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
223 1 0 0 0 0 0 0 0 0 1 0 -1.9271254031890113 0
224 1 0 0 0 0 0 1 0 0 0 0 -1.9271254031890113 0
225 1 0 0 0 0 0 1 0 0 0 0 -1.4612378112186517 0
226 0 0 0 0 1 0 1 0 0 0 0 1.7175872968554604 0
227 1 0 0 0 0 0 0 0 0 1 0 -1.6030339021552336 0
228 1 0 0 0 0 0 0 0 0 1 0 -1.6739100357364398 0
229 1 0 0 0 0 0 0 0 0 1 0 -1.461237811218652 0
230 0 0 1 0 0 0 0 0 1 0 0 -20.167491087293765 1
231 1 0 0 0 0 0 0 0 0 1 0 -1.7608256958219215 0
232 1 0 0 0 0 0 0 0 0 1 0 -0.5897965829105465 0
233 1 0 0 0 0 0 0 0 0 1 0 -2.130627450840593 0
234 1 0 0 0 0 0 0 0 0 1 0 -1.3578818663054184 0
235 1 0 0 0 0 0 0 0 0 1 0 -1.2650482339131126 0
236 1 0 0 0 0 0 1 0 0 0 0 0.17289469775217617 0
237 1 0 0 0 0 0 1 0 0 0 0 -0.5221988830118511 0
238 1 0 0 0 0 0 0 0 0 1 0 -1.6647427435654683 0
239 1 0 0 0 0 0 1 0 0 0 0 -0.5897965829105466 0
240 1 0 0 0 0 0 1 0 0 0 0 -2.2969064644248194 0
241 1 0 0 0 0 0 0 1 0 1 0 -1.2949577781537749 0
242 1 0 0 0 0 0 0 0 0 1 0 0.4352549303958978 0
243 1 0 0 0 0 0 0 0 0 1 0 -3.6372725497248006 0
244 1 0 0 0 0 0 1 0 0 0 0 -2.622202166888774 0
245 1 0 0 0 0 0 1 0 0 0 0 -2.6353177043503284 0
246 1 0 0 0 0 0 0 0 0 1 0 0.6387687128978482 0
247 1 0 0 0 0 0 0 0 0 0 1 -0.8290638913909207 0
248 1 0 0 0 0 0 1 0 0 0 0 -3.13258554998372 0
249 1 0 0 0 0 0 1 0 0 0 0 -3.13258554998372 0
250 1 0 0 0 0 0 1 0 0 0 0 -2.9290759685238497 0
251 1 0 0 0 0 0 1 0 0 0 0 -2.622202166888774 0
252 1 0 0 0 0 0 1 0 0 0 0 -2.130627450840593 0
253 1 0 0 0 0 0 1 0 0 0 0 -3.860845341593096 0
254 1 0 0 0 0 0 0 0 0 0 1 0.8050452557227554 0
255 1 0 0 0 0 0 1 0 0 0 0 -2.2969064644248194 0
256 1 0 0 0 0 0 0 0 0 0 1 -1.8682530548991212 0
257 1 0 0 0 0 0 0 0 0 1 0 -1.7608256958219215 0
258 1 0 0 0 0 0 1 0 0 0 0 -3.15567196384435 0
259 1 0 0 0 0 0 0 1 0 1 0 -0.5897965829105466 0
260 1 0 0 0 0 0 1 0 0 0 0 -3.0251614429361915 0
261 1 0 0 0 0 0 1 0 0 0 0 -3.1100655293164676 0
262 1 0 0 0 0 0 0 0 0 0 1 -1.1543687256848738 0
263 1 0 0 0 0 0 0 0 0 0 1 -1.9900394685294025 0
264 1 0 0 0 0 0 1 0 0 0 0 -1.461237811218652 0
265 1 0 0 0 0 0 0 0 0 1 0 -0.19691178157891281 0
266 1 0 0 0 0 0 0 0 0 1 0 -1.2650482339131126 0
267 1 0 0 0 0 0 0 0 0 1 0 -2.0299880409140596 0
268 1 0 0 0 0 0 0 0 0 1 0 -1.620241384157299 0
269 1 0 0 0 0 0 0 0 0 1 0 -2.9855214646737935 0
270 1 0 0 0 0 0 0 0 0 1 0 -2.947498436586219 0
271 1 0 0 0 0 0 0 1 0 1 0 -2.296906464424819 0
272 1 0 0 0 0 0 1 0 0 0 0 -2.209982393088632 0
273 1 0 0 0 0 0 0 0 0 1 0 -2.2969064644248194 0
274 0 1 0 0 0 0 1 0 0 0 0 -16.744727494896694 0
275 1 0 0 0 0 0 1 0 0 0 0 -4.157390760389438 0
276 1 0 0 0 0 0 0 0 0 1 0 -4.493494967595128 0
277 1 0 0 0 0 0 1 0 0 0 0 -3.025161442936191 0
278 1 0 0 0 0 0 0 0 0 1 0 -0.8290638913909207 0
279 1 0 0 0 0 0 0 0 0 1 0 -0.5221988830118512 0
280 1 0 0 0 0 0 1 0 0 0 0 -4.089909454405932 0
281 1 0 0 0 0 0 1 0 0 0 0 -1.461237811218652 0
282 1 0 0 0 0 0 1 0 0 0 0 -4.027334407733889 0
283 0 1 0 0 0 0 0 0 0 1 0 -0.5503519274144819 0
284 0 1 0 0 0 0 0 0 0 1 0 -1.6912435576293672 0
285 0 1 0 0 0 0 0 0 0 1 0 -0.5503519274144819 0
286 1 0 0 0 0 0 1 0 0 0 0 -1.6647427435654683 0
287 1 0 0 0 0 0 0 0 0 1 0 -1.9271254031890113 0
288 1 0 0 0 0 0 1 0 0 0 0 -1.032583080681808 0
289 0 1 0 0 0 0 0 0 0 1 0 0.0034605321095063936 0
290 0 1 0 0 0 0 0 0 0 1 0 -0.5503519274144819 0
291 0 1 0 0 0 0 0 0 0 1 0 -0.4963727186435876 0
292 0 1 0 0 0 0 0 0 0 1 0 -1.6912435576293672 0
293 0 0 0 0 1 0 1 0 0 0 0 -3.6382721639824074 0
294 1 0 0 0 0 0 1 0 0 0 0 -1.0325830806818082 0
295 0 1 0 0 0 0 0 0 0 1 0 1.4313637641589874 0
296 0 1 0 0 0 0 0 0 0 1 0 1.4313637641589874 0
297 1 0 0 0 0 0 1 0 0 0 0 -2.130627450840593 0
298 0 0 0 0 1 0 1 0 0 0 0 1.3010299956639813 0
299 0 1 0 0 0 0 0 0 0 1 0 -9.271646217978772 0
300 1 0 0 0 0 0 1 0 0 0 0 -2.3630910522011765 0
301 1 0 0 0 0 0 1 0 0 0 0 -2.54720190144084 0
302 1 0 0 0 0 0 1 0 0 0 0 -2.59651914676266 0
303 1 0 0 0 0 0 1 0 0 0 0 -1.9090721474183923 0
304 1 0 0 0 0 0 0 1 0 0 1 -1.2949577781537747 0
305 0 1 0 0 0 0 0 0 0 1 0 -1.6912435576293672 0
306 1 0 0 0 0 0 0 0 0 0 1 -2.130627450840593 0
307 0 1 0 0 0 0 0 0 0 1 0 -4.6401645176601125 0
308 0 1 0 0 0 0 0 0 0 1 0 -1.9267950435114045 0
309 1 0 0 0 0 0 1 0 0 0 0 -0.9251470041187527 0
310 1 0 0 0 0 0 1 0 0 0 0 -4.493494967595128 0
311 1 0 0 0 0 0 1 0 0 0 0 -3.4258760926640153 0
312 0 1 0 0 0 0 0 1 0 0 0 -16.297569463554474 0
313 1 0 0 0 0 0 0 1 0 1 0 -1.2949577781537747 0
314 1 0 0 0 0 0 1 0 0 0 0 -1.461237811218652 0
315 1 0 0 0 0 0 1 0 0 0 0 -3.0880863648290107 0
316 1 0 0 0 0 0 0 0 0 0 1 -1.5778206852588696 0
317 0 1 0 0 0 0 0 1 0 0 0 -16.010550182333308 0
318 1 0 0 0 0 0 1 0 0 0 0 -4.396855627379818 0
319 1 0 0 0 0 0 0 0 0 0 1 -0.10998719740764104 0
320 1 0 0 0 0 0 1 0 0 0 0 -2.5004228792715124 0
321 1 0 0 0 0 0 1 0 0 0 0 -2.9290759685238497 0
322 0 0 1 0 0 0 0 0 1 0 0 -20.167491087293765 1
323 1 0 0 0 0 0 0 0 0 1 0 -0.19691178157891281 0
324 1 0 0 0 0 0 1 0 0 0 0 -2.9290759685238497 0
325 1 0 0 0 0 0 1 0 0 0 0 -2.8421505195470984 0
326 1 0 0 0 0 0 1 0 0 0 0 -2.9290759685238497 0
327 1 0 0 0 0 0 1 0 0 0 0 -2.0934010132368845 0
328 1 0 0 0 0 0 1 0 0 0 0 -3.457871994932685 0
329 1 0 0 0 0 0 0 1 0 1 0 -1.4612378112186517 0
330 1 0 0 0 0 0 0 1 0 1 0 -1.0325830806818082 0
331 1 0 0 0 0 0 0 0 0 1 0 -2.5004228792715124 0
332 0 1 0 0 0 0 1 0 0 0 0 -18.359518563029578 0
333 0 1 0 0 0 0 0 0 0 1 0 -1.2177352562707104 0
