,food_web,node_name
728,CR1P2,PhytoP
729,CR1P3,PhytoP
730,CR1P4,PhytoP
731,CR2P1,PhytoP
732,CR2P2,PhytoP
733,CR2P3,PhytoP
734,CR2P4,PhytoP
735,F1P1,PhytoP
736,F1P2,PhytoP
737,F1P3,PhytoP
738,F1P4,PhytoP
739,F2P1,PhytoP
740,F2P2,PhytoP
741,F2P3,PhytoP
742,F2P4,PhytoP
743,FP1,PhytoP
744,FP1,Chaetomorpha gracilis
745,FXAP1,PhytoP
746,FXAP2,PhytoP
747,FXAP3,PhytoP
748,FXAP4,PhytoP
749,FXBP1,PhytoP
750,FXBP2,PhytoP
751,FXBP3,PhytoP
752,FXBP4,PhytoP
753,GJAP1,PhytoP
754,GJAP2,PhytoP
755,GJAP3,PhytoP
756,GJAP4,PhytoP
757,GJBP1,PhytoP
758,GJBP2,PhytoP
759,GJBP3,PhytoP
760,GJBP4,PhytoP
761,L1P1,PhytoP
762,L1P2,PhytoP
763,L1P3,PhytoP
764,L1P4,PhytoP
